ที่	tʰîː	at	เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ
ที่รัก	tʰîː rák	darling; honey; dear	ความใจกว้างของเขาทำให้เขาเป็นที่รักของเพื่อนฝูง
แดน	dɛːn	land; area; border	เขาล้ำเข้าไปในแดนข้าศึก
ประทับใจ	pràʔ tʰáp tɕaj	impressed	ผู้ชมประทับใจในความสามารถการเล่นเปียโนของเขามาก
ป้าย	pâːj	label; sign	พอดีเห็นรถเมล์ปรับอากาศแล่นมาจอดที่ป้าย ผมจึงไม่ยืนรีรออีกต่อไปสำหรับการเดินทางให้ถึงจุดหมาย
ความเป็นจริง	kʰwaːm pen tɕiŋ	reality	นักแสดงถ่ายทอดความเป็นจริงในเรื่องนี้ได้ทั้งหมดอย่างสมจริง
นอกจากนั้น	nɔ̂ːk tɕàːk nán	besides that; apart from that	ยามถูกตัดเงินเดือนนอกจากนั้นเขายังจะถูกภาคทัณฑ์ไว้ด้วย
ร่วมมือ	rûːam mɯː	cooperate; collaborate	ภาวะดังกล่าวทำให้ร่วมมือกันได้ยาก
ปน	pon	mix; adulterate; mingle	บางคนชอบทานข้าวที่มีข้าวจ้าวปนกับข้าวเหนียว
สรรพ	sàp	whole; all; entire	ดวงอาทิตย์เป็นตัวกำเนิดแสงที่ให้พลังแสงแก่โลก และทุกสรรพสิ่ง
ถาวร	tʰǎː wɔːn	permanent	ประเทศผู้ค้าอาวุธรายใหญ่ของโลกอีก 4 ประเทศซึ่งล้วนแล้วแต่เป็นสมาชิกถาวรของคณะมนตรีความมั่นคงแห่งสหประชาชาติจะพร้อมใจกันลดการส่งออกอาวุธธรรมดาๆ
ลุง	luŋ	uncle	สมัยเรียนหนังสือผมอยู่ในอำนาจการดูแลของลุง
วัว	wuːa	cow	คนชอบนำสัตว์หลายชนิดมาถวายหลวงพ่อเช่น ช้าง วัว กระทิง หมูป่า เป็นต้น
สาธารณสุข	sǎː tʰaː rá ná sùk	public health	รัฐบาลให้ความสำคัญกับงบประมาณด้านการศึกษาและสาธารณสุข
สุภาพ	sùʔ pʰâːp	polite; politely	หนุ่มชาวเกาะยืนคิดอยู่ครู่ใหญ่ๆ จึงตอบคำถามท่านด้วยเสียงที่สุภาพ
งั้น	ŋán	then; in that case	ในเมื่อเขารู้แผนการณ์ของบริษัทแล้ว งั้นเราก็ต้องเปลี่ยนแผนใหม่
รู	ruː	hole	ใบหูและรูหูทำหน้าที่รับเสียงผ่านแก้วหูไปสู่หูชั้นกลางและหูชั้นใน
ชาวนา	tɕʰaːw naː	farmer	ชาวนายุคใหม่ใช้เครื่องทุ่นแรง เช่น รถไถ รถเก็บเกี่ยว เครื่องสี เพื่อความสะดวกของขั้นตอนการผลิต
เพดาน	pʰeː daːn	ceiling	ห้องของเขาห้อยนกและเครื่องบินไว้บนเพดานจนเต็มเนื้อที่
บ่งบอก	bòŋ bɔ̀ːk	indicate; show	การแต่งกายบ่งบอกบุคลิกภาพของแต่ละคน
ร้ายแรง	ráːj rɛːŋ	serious; severe	ความร้ายแรงของโรคนี้ถึงขั้นผู้ป่วยอาจเสียชีวิตได้ทันที
กำ	kam	grasp; hold	ดอกไม้ 3 กำใหญ่ๆ ถูกนำมาจัดเป็นช่ออย่างงดงาม
เทียน	tʰiːan	candle	ที่ศาลเจ้ามีคนมาจุดธูปเทียนจุดประทัดอยู่เป็นประจำ
กำจัด	kam tɕàt	eliminate	ในสังคมของเพื่อนร่วมงาน มีคนอยู่มากที่คิดที่จะกำจัดเพื่อนร่วมงานกันเองเพื่อ…
กลางวัน	klaːŋ wan	daytime	ถ้าปลูกบ้านหันหน้าไปทางทิศใต้ จะได้รับแสงแดดตอนกลางวัน
บูชา	buː tɕʰaː	worship	หล่อนบูชาความกล้าและความเสียสละของเขาอย่างที่จะไม่มีวันลืมเลือน
บ่อ	bɔ̀ː	well; pit	เกือบทุกบ้านในหมู่บ้านจะขุดบ่อน้ำไว้ในบริเวณบ้านเพื่อใช้บริโภคและอุปโภค
ประดิษฐ์	pràʔ dìt	invent; create; make up	ดอกไม้ประดิษฐ์ช่อนี้เหมือนจริงมาก
ใส่ใจ	sàj tɕaj	pay attention; attend	ตั้งแต่นี้ผมคงไม่เตือนเขาอีกแล้ว เพราะรู้แน่แก่ใจแล้วว่าเขาไม่ได้ใส่ใจกับคำพูดของผม
บัว	buːa	lotus	เธอเดินลัดเลาะไปยังอีกฝากหนึ่งเพื่อเก็บดอกบัวได้ง่ายขึ้น
หลุด	lùt	fall off; loose	เขาไถ่นาฬิกาจากโรงจำนำไม่ได้ เพราะหลุดเสียแล้ว
คม	kʰom	sharp; clever	เขามีคำพูดคมคายเป็นที่ถูกอกถูกใจของเจ้านาย
ต่างหาก	tàːŋ hàːk	separately; on the contrary	เขาแยกบ้านไปอยู่ต่างหากกับเมียของเขา
เจ้าฟ้า	tɕâw fáː	his royal highness; prince	เจ้าฟ้าเชียงตุงเป็นผู้ครองนครที่มีคุณธรรมมาก
เฉย	tɕʰɤ̌ːj	ignore; pay no attention; calm; silent	แม่เฉยจนพ่อแปลกใจ
นิติกรรม	níʔ tìʔ kam	legal act	ทนายความยื่นฟ้องศาลดำเนินคดีกับน้องชายต่างบิดาแล้วในข้อหานิติกรรมอำพราง
ประชากร	pràʔ tɕʰaː kɔːn	population	ประชากรของไทยเพิ่มขึ้นรวดเร็วมาก
คนไข้	kʰon kʰâj	patient	ตามโรงพยาบาลรัฐมีคนไข้แน่นจนแพทย์ให้บริการไม่ทัน
แสวงหา	sà wɛ̌ːŋ hǎː	seek for; search for	เด็กที่มาจากครอบครัวที่แตกแยก มักแสวงหาสิ่งทดแทนมาชดเชยส่วนที่ขาดหายไป
กระทั่ง	kràʔ tʰâŋ	until; through	คนงานทำงานตั้งแต่เช้ากระทั่งกลางวันค่อยพักกินข้าว
ผู้บริหาร	pʰûː bɔː ríʔ hǎːn	administrator; director	เขาได้รับรางวัลผู้บริหารดีเด่นเกือบทุกปี
กล	kon	machine; trickery	ถึงแม้เขาจะเป็นนักมายากลระดับชาติ แต่กลที่แสดงก็เป็นเพียงกลง่ายๆ ธรรมดา
ศักยภาพ	sàk kà já pʰâːp	ability; potential; latency	ขบวนการขจก. ลดน้อยลงมากจึงไม่มีศักยภาพที่จะสั่นคลอนอำนาจรัฐได้แล้ว
ครอบครอง	kʰrɔ̂ːp kʰrɔːŋ	possess	เขาเข้าครอบครองทรัพย์สินทั้งหมดเมื่อบิดาเขาตาย
อ่อนแอ	ʔɔ̀ːn ʔɛː	weak; feeble; tired	ทารกบางคนอ่อนแอ ขี้โรค ระบบประสาทเชื่องช้า
มงคล	moŋ kʰon	auspicious	ผู้กว้างขวางในสังคมมักได้รับเชิญให้สวม และถอดมงคลให้คู่บ่าวสาวในพิธีมงคลสมรส
ครั้งนั้น	kʰráŋ nán	at that time	ครั้งนั้นเธอทำผิดโดยไม่ได้ตั้งใจ ผมจึงให้อภัยเธอ
ที่แล้ว	tʰîː lɛ́ːw	...ago	ตัวเอกในเรื่องนี้เพิ่งจะได้รับรางวัลตุ๊กตาทองเมื่อปีที่แล้ว
คนใช้	kʰon tɕʰáj	maid; servant	คนใช้บ้านเธอทำงานสะอาดเรียบร้อยและไว้ใจได้
รู้ตัว	rúː tuːa	be aware of	ท่านเองก็อาจจะไม่รู้ตัวว่าเมื่อเป็นเด็ก ท่านเองก็เป็นเช่นนี้เหมือนกัน
มหาศาล	má hǎː sǎːn	huge	์เครื่องจักรในอุดมคติคือเครื่องที่สามารถรับวัตถุดิบได้อย่างมหาศาล
ขอบคุณ	kʰɔ̀ːp kʰun	thank you	ผมรู้สึกขอบคุณสำหรับการช่วยเหลือของผู้ชายคนนั้นอยู่เสมอ
จอด	tɕɔ̀ːt	park	เรือจอดอยู่กลางแม่น้ำ
คิว	kʰiw	queue; cue	ญี่ปุ่นสั่งซื้อไม้เข้าประเทศคิดเป็นจำนวน 37.5 ล้าน คิวบิกเมตร
เจาะ	tɕɔ̀ʔ	drill	ช่างเจาะแผ่นเหล็กด้วยสว่านไฟฟ้า
เสียใจ	sǐːa tɕaj	sorry; upset	ฉันรู้สึกเสียใจกับเรื่องที่เกิดขึ้นและไม่ได้ตั้งใจให้เป็นแบบนั้นจริงๆ
พาณิชย์	pʰaː nít	commerce	ปัจจุบันตลาดพระเครื่องได้กลายเป็นธุรกิจในเชิงพาณิชย์ที่เป็นที่ยอมรับของสังคมส่วนใหญ่
เล่าเรียน	lâw riːan	study	นักเรียนทุกคนควรมีความรับผิดชอบต่อหน้าที่ของตนคือตั้งใจศึกษาเล่าเรียน
ขยายตัว	kʰà jǎːj tuːa	expand	ความก้าวหน้าทางชีววิทยาทำให้เกิดการขยายตัวของวิธีการทางการแพทย์
ทรัพยากร	sáp pʰá jaː kɔːn	resource; natural resource	เยาวชนคือทรัพยากรที่มีค่าของชาติ
รี่	rîː	to head straight for; directly	เมื่อเขาแกล้งเคาะตู้ เจ้าสุนัขก็จะรี่มาหาราวกับรู้ภาษา
แผนก	pʰà nɛ̀ːk	department; division; section	ลองนับดูว่าบริษัทเรามีกี่แผนก แล้วก็จดบันทึกไว้
เพียงใด	pʰiːaŋ daj	how much; however much	ยิ่งเด็กไม่ได้รับความอบอุ่นจากครอบครัวมากเพียงใด กลุ่มก็จะยิ่งมีอิทธิพลต่อเด็กมากขึ้น
หลังคา	lǎŋ kʰaː	roof; rooftop	บ้านหลังนี้เป็นบ้านที่มีโครงสร้างแบบเล็กๆ เป็นบ้าน 4 เสา มีหลังคาพอคุ้มฝน มีหน้าต่างเจาะไว้หยาบๆ 2 บาน
ปราศจาก	pràːt sà tɕàːk	be without, be deprived of	การเดินขบวนประท้วงล้มเหลวทุกครั้งเนื่องจากผู้ประท้วงปราศจากอาวุธที่จะต้านทานกับฝ่ายทหารที่มีอาวุธอยู่ในมือซึ่งพร้อม
วุ่นวาย	wûn waːj	chaotic; troublesome; bothersome	เพื่อนของฉันบอกว่ายอมอยู่เป็นคนโสดดีกว่ามีคู่แล้ววุ่นวาย
เจ	tɕeː	vegetarian	พ่อกับลุงกินเจทุกวันอาทิตย์
โชคดี	tɕʰôːk diː	good luck	ผมอาจโชคดีได้รับเงินตกเบิกก้อนโต
กระจก	kràʔ tɕòk	glass; mirror	ช่างสร้างบ้านตัดกระจกเป็นแผ่นเพื่อทำหน้าต่าง
ยากจน	jâːk tɕon	poor	แม้ชาวชนบทบางคนจะยากจนก็ยังมีจิตใจเอื้อเฟื้อ โดยเฉพาะการตักบาตรทำบุญทำทานแก่ศาสนา
หลีกเลี่ยง	lìːk lîːaŋ	avoid, evade	เราสามารถป้องกันโรคหัวใจ และมะเร็งได้  โดยหลีกเลี่ยงอาหารที่มีไขมันชนิดอิ่มตัว
ศิลปิน	sìʔ lá pin	artist	อาร์เอสต้องปรับเปลี่ยนรูปแบบผลงานของศิลปินอยู่ตลอดเวลาเพราะเพลงวัยรุ่นเปลี่ยนแปลงเร็ว
กลไก	kon kaj	mechanism; device; office, organ	นาฬิกาเรือนนี้มีกลไกทำงานซับซ้อนมาก
ประทับ	pràʔ tʰáp	imprint; affix; reside; stay	กระดาษสำหรับเขียนจดหมายส่งไปต่างประเทศสีฟ้าเนื้อบางชนิดมีดวงตราไปรษณียากรประทับราคาสำเร็จรูปแล้ว
ถ้อยคำ	tʰɔ̂ːj kʰam	word; confession; expression	การกล่าวคำอวยพรในงานมงคลสมรสจะกล่าวเพียงสั้นๆ ด้วยถ้อยคำที่เป็นมงคลแก่คู่สมรส ไม่ควรจะพูดเยิ่นเย้อ
เหมือนเดิม	mɯ̌ːan dɤːm	as before	ครอบครัวปัจจุบันแม่ก็ยังเป็นผู้ใกล้ชิดสนิทสนมให้ความอบอุ่นกับลูกอยู่เหมือนเดิม
ตกแต่ง	tòk tɛ̀ŋ	decorate; beautify	บ้านนี้ตกแต่งภายในด้วยมัณฑนากรชื่อดัง
ท่าทาง	tʰâː tʰaːŋ	stance; posture	สมชายเดินด้วยท่าทางมั่นใจ
เลือกตั้ง	lɯ̂ːak tâŋ	vote	พ.ร.บ.องค์การบริหารส่วนจังหวัด พ.ศ.2540 มาตรา 82 กำหนดให้เลือกตั้งเฉพาะนายกองค์การบริหารส่วนจังหวัดตำแหน่งเดียวเท่านั้น
ลึกซึ้ง	lɯ́k sɯ́ŋ	profoundly; deeply; touching	เราคงไม่ต้องพิจารณาอะไรกันให้ลึกซึ้งนัก
ความมั่นใจ	kʰwaːm mân tɕaj	confidence	เขามีความมั่นใจที่จะทำงานให้สำเร็จลุล่วงได้ทันเวลา
เคลื่อน	kʰlɯ̂ːan	move; progress	การอ่านข้อมูลที่บันทึกไว้จะทำได้เมื่อหัวอ่านเคลื่อนผ่านจุดข้อมูลแม่เหล็กที่เหนี่ยวนำไว้แล้ว
เท่าใด	tʰâw daj	how much; howeever much	ผลการแข่งขันบาสเกตบอลคู่นี้แพ้ชนะกันเท่าใด
ความเสียหาย	kʰwaːm sǐːa hǎːj	damage	ไต้ฝุ่นเกย์ทำให้เกิดความเสียหายอย่างหนักในภาคใต้ตอนบน
ขยะ	kʰà jàʔ	garbage	ใครมักง่ายทิ้งขยะลงไปตามท่อระบายน้ำ จะทำให้ท่อเกิดการอุดตัน
ย่า	jâː	paternal grandmother	เด็กก่อนวัยเรียนในชนบทจะถูกปู่ย่าตายายและญาติทำหน้าที่ดูแลแทนพ่อแม่ของพวกเขา
เอ่ย	ʔɤ̀ːj	mention, utter	เธอเอ่ยขึ้นก่อนที่ผมจะอ้าปากพูดอะไรเสียอีก
วัสดุ	wát sà dùʔ	material; substance; matter	ตุ๊กตาประเภทนี้ประดิษฐ์ขึ้นเพื่อให้เด็กเล่น มักทำอย่างง่ายๆ จากวัสดุที่หาได้ใกล้ๆ
ประมาท	pràʔ màːt	look down on; insult; underestimate	ผมไม่มีเจตนาดูถูกหรือหมิ่นประมาทพวกพี่ๆ
นม	nom	milk; breast	นมของแม่ลูกอ่อนจะคัดทุกครั้งที่ถึงเวลาให้นมลูก
ป้อน	pɔ̂ːn	feed; provide	นักสัตววิทยากำลังต้องใช้อาหารป้อนลูกหมีแพนด้าที่ถูกแม่ทอดทิ้ง
กัด	kàt	bite	สมชายกัดเนื้อย่างเข้าไป 1 คำจึงรู้ว่าไม่สุก
ชายหนุ่ม	tɕʰaːj nùm	youth	ชายหนุ่มคนใดอายุยี่สิบปีบริบูรณ์ควรบวชพระ เพื่อทดแทนพระคุณพ่อและแม่
แทรก	sɛ̂ːk	insert	บ้านของเขาแทรกอยู่ในแมกไม้สีเขียว เป็นบ้านใต้ถุนสูง มีเสาไม้แดงท่อนกลมเรียงราย
ดังที่	daŋ tʰîː	as; according to; as if	ถ้าไม่มีความรู้นี้แล้วก็ไม่สามารถวิเคราะห์ภาษาดังที่มนุษย์ทำได้
ชัก	tɕʰák	to pull at; twitch; rather, somewhat	เมื่อเห็นเธอทำท่าไม่ยินยอม คนร้ายก็ชักมีดออกมาเพื่อจะขู่
แนวโน้ม	nɛːw nóːm	tendency	ราคาเครื่องคอมพิวเตอร์มีแนวโน้มที่จะถูกลงเรื่อยๆ ในขณะที่สมรรถภาพกลับสูงขึ้น
เงา	ŋaw	shadow; reflection; image	เมื่อรับสัญญาณสีมาจะแสดงออกเป็นเงาต่างระดับกันได้ถึง 64 ระดับ
เดี่ยว	dìːaw	solo; alone; be alone	เขาบินเดี่ยวไปอเมริกา
บัญญัติ	ban jàt	regulation; decree	เขาผิดบัญญัติของพระผู้เป็นเจ้า สมควรได้รับการลงโทษ
แข่ง	kʰɛ̀ŋ	race, compete	เธอกล้าแข่งกับเขาแบบตัวต่อตัวหรือเปล่า
รบกวน	róp kuːan	disturb	ฉันไม่ชอบให้ใครมารบกวนเวลาทำงาน
ก่อนหน้า	kɔ̀ːn nâː	before; beforehand	ในประเทศสหรัฐอเมริกามีการถอนตัวของนักธุรกิจเกิดขึ้นก่อนหน้าประเทศญี่ปุ่น
ซ่อม	sɔ̂ːm	repair; mend; restore	พ่อซ่อมรถเอง เพื่อเป็นการประหยัด
กู้	kûː	borrow; retrieve	ในเวลาว่าง เด็กๆ ชนบทมักพากันไปกู้ไซ
วินาที	wíʔ naː tʰiː	second	ตาของคนเราจะกระพริบอยู่ตลอดเวลา โดยเฉลี่ยทุกๆ 5 วินาที เพื่อเป็นการหล่อเลี้ยงน้ำบนดวงตา
ร่วง	rûːaŋ	fall off; drop; come off	ขนของมันร่วงจนหมดเพราะร้อนอุดอู้อยู่ในโพรง
วัตถุประสงค์	wát tʰùʔ pràʔ sǒŋ	objective; object; aim	สมาคมของเราไม่ได้ตั้งขึ้นมาเพื่อวัตถุประสงค์ในการหาเงิน
ร้องไห้	rɔ́ːŋ hâj	cry	เด็กๆ ตื่นขึ้นมาตอนกลางดึก ร้องไห้กันงอแง
หน	hǒn	time; occasion; place	เปลี่ยนนายอำเภอหนนี้ จัดงานต้อนรับใหญ่กว่าทุกปี
กล่าวคือ	klàːw kʰɯː	that is to say; that is; in other words	ท่านสังฆราชแห่งมณฑลภาคตะวันออกได้รับตำแหน่งพระราชาคณะ กล่าวคือท่านต้องทำหน้าที่นี้ตลอด 4 ปีข้างหน้า
ต้นทุน	tôn tʰun	capital; principal; asset	ต้นทุนของการทำสมุด 1 เล่ม เท่ากับ 13 บาท
ตกใจ	tòk tɕaj	frightened	หญิงชราอ้าปากค้างด้วยความตกใจ เมื่อรู้ข่าวว่าลูกถูกตำรวจจับ
ผลไม้	pʰǒn lá máːj	fruit	ทุเรียนเป็นผลไม้ที่ฉันชอบที่สุด
รุ่ง	rûŋ	dawn	การทำงานหนักหามรุ่งหามค่ำ แทบไม่มีเวลาพักผ่อน ทำให้เขาป่วยหนัก
ส่วนร่วม	sùːan rûːam	involved; share	ผู้นำควรสนับสนุนให้สมาชิกมีส่วนร่วมในการออกความคิดเห็นและตัดสินปัญหา
รองรับ	rɔːŋ ráp	support; bear	ประติมากรรมนูนมีพื้นรองรับ สามารถดูได้เฉพาะด้านหน้าและด้านเฉียงเท่านั้น
สมัยใหม่	sà mǎj màj	modern	ความจริงจังหวัดอุดรธานีเกิดขึ้นในสมัยใหม่ ไม่ใช่เมืองเก่าแก่เหมือนเมืองอื่นๆ
รสนิยม	rót níʔ jom	taste; liking; preference	รัฐบาลตั้งเจ้าหน้าที่รับเรื่องราวร้องทุกข์ขึ้น เพื่อปลอบใจประชาชน
ตำนาน	tam naːn	legend; annals	วัดมหาธาตุเป็นดินแดนที่เต็มไปด้วยประวัติศาสตร์และตำนานที่สำคัญ
กระนั้น	kràʔ nán	thus; nevertheless	แม้เครื่องยนต์ของรถไม่ค่อยอยู่ในสภาพที่ดี กระนั้นคนขับรถยังกล้าขับไปต่างจังหวัด
จักร	tɕàk	wheel; disk	พระวิษณุมีจักรเป็นอาวุธ
สำนึก	sǎm nɯ́k	realize, be aware of	คนทำผิดแล้วสำนึกตน เป็นคนที่น่าให้อภัย
เสื่อม	sɯ̀ːam	decline; deteriorate	ความจำระยะสั้นสามารถเสื่อมได้ เมื่อถูกกระทบรบกวนด้วยกิจกรรมใหม่ๆ
จันทร์	tɕan	Monday	จันทร์หน้าพวกเราต้องไปสัมมนาที่ระยอง
ตรงกัน	troŋ kan	identical; the same	นักเรียนต้องเข้าแถวให้ตรงกัน
ร่ำรวย	râm ruaj	wealthy	การแต่งตัวของเขาบ่งบอกว่าจะต้องเป็นคนที่มีฐานะร่ำรวย
ศีรษะ	sǐː sàʔ	head	มนุษย์จอมพลังสามารถยกข้าวสาร 100 กิโลกรัมวางไว้บนศีรษะได้อย่างน่าอัศจรรย์
สบายใจ	sà baːj tɕaj	be happy	คนบางคนมีอาการไม่สบายใจมากจนคนแวดล้อมคิดว่าเป็นโรคจิต
รัฐสภา	rát tʰà sà pʰaː	parliament; congress	พรรคฝ่ายค้านสามารถคว้าที่นั่งในรัฐสภากลับคืนมาจากการเลือกตั้งครั้งล่าสุด
เมล็ด	má lét	seed; kernel	เขาแยกเมล็ดที่ลีบแบนไม่งามออกมาไว้ต่างหาก
นับแต่	náp tɛ̀ː	since; from; after	นับแต่หัวหน้าครอบครัวเสียชีวิต ฐานะของครอบครัวก็ทรุดลงเรื่อยๆ
พระราชทาน	pʰráʔ râːt tɕʰá tʰaːn	give; confer	กษัตริย์ในราชวงศ์ถังพระราชทานเลี้ยงแก่ข้าราชบริพารทุกวัน
มหานคร	má hǎː ná kʰɔːn	metropolis; capital	พล.อ.สุนทรประกอบธุรกิจร้านอาหารที่มหานครปารีส
ฟิล์ม	fim	film	อย่าปล่อยให้ฟิล์มที่ยังไม่ได้ล้างถูกแสงแดด เพราะอาจเกิดเสียหายได้
ใบหน้า	baj nâː	face	บนใบหน้าของเขามีรูขุมขนที่ใหญ่มากจนเห็นได้ชัดเจน
เดี๋ยวนี้	dǐːaw níː	now	เดี๋ยวนี้มลพิษในเมืองใหญ่มีมากขึ้น
กาแฟ	kaː fɛː	coffee	กาแฟยี่ห้อนี้มีกลิ่นหอมชวนดื่ม
จำพวก	tɕam pʰûːak	kind; category; type	กัญชาเป็นพืชล้มลุกจำพวกหญ้า
เห็นใจ	hěn tɕaj	sympathize; feel for	รถเมล์ประกาศยืนหยัดราคาค่ารถ 3.50 บาทเพราะเห็นใจประชาชน
แน่น	nɛ̂ːn	tight	ผมจัดการปิดประตูลงกลอนแน่นก่อนเดินออกจากบ้าน
ปั้น	pân	sculpture	งานวิจัยพบว่าเด็กลูกช่างปั้นหม้อที่ต้องปั้นหม้อดินช่วยพ่อแม่จะมีพัฒนาการเกี่ยวกับความเข้าใจเรื่องมวลสารได้เร็ว
เข้ม	kʰêm	dark, deep, rich (colors and flavours)	สีของผิวหนังบริเวณแขนมักจะเข้มกว่าส่วนอื่นของร่างกาย
เมื่อไร	mɯ̂ːa raj	when	เมื่อไรเราถึงจะมีโอกาสแบบเขาบ้าง
ไหม้	mâj	burn; be on fire	ตอนไฟกำลังไหม้ต่างคนต่างแตกตื่นโกลาหล
กั้น	kân	seperate; bar; block	หล่อนและเพื่อนแยกห้องนอนกั้นโดยใช้ม่านกั้น
นัย	naj	sense; method; implication	หัวหน้าพรรคเสรีธรรมพูดเป็นนัยว่ารัฐบาลอาจลาออก
ยืด	jɯ̂ːt	stretch; extend	อย่าดึงเสื้ออย่างนั้น เดี๋ยวยืดหมด
ข้อเสนอ	kʰɔ̂ː sà nɤ̌ː	proposal; offer	คณะกรรมการมีข้อเสนอเกี่ยวกับการรณรงค์อนุรักษ์พันธุ์สัตว์น้ำที่น่าสนใจ
ขุน	kʰǔn	fertilize; feed	เจ้าของฟาร์มพยายามขุนหมูให้มีน้ำหนักมากๆ เพื่อราคาที่สูงขึ้น
วิจารณ์	wíʔ tɕaːn	critique; criticize	เมื่อเขาถูกนินทาบ้าง วิจารณ์บ้าง ก็เลยคิดสั้นด้วยการฆ่าตัวตาย
ปฏิวัติ	pà tìʔ wát	overthrow, stage a revolution	ผู้นำทหารปฏิวัติไม่สำเร็จเลยต้องหนีออกนอกประเทศ
ข่าวสาร	kʰàːw sǎːn	message; information; news	ข่าวสารจากหนังสือพิมพ์ช่วยให้เรารู้เรื่องต่างๆ ดีขึ้น
แพร่	pʰrɛ̂ː	broadcast; disseminate	อากาศที่แพร่ก็หนาวเย็นไม่แพ้ที่อื่นๆ เท่าไหร่
ยกเลิก	jók lɤ̂ːk	cancel	นายจ้างยกเลิกสัญญาที่ไม่เป็นธรรม
เทวดา	tʰeː wá daː	angel; god	ศาสนาพราหมณ์นับถือธรรมชาติและอำนาจของธรรมชาติในนามของเทพหรือเทวดา
กษัตริย์	kàʔ sàt	King	ทองที่เห็นอยู่นั้นเป็นทองเนื้อกษัตริย์
ข้าวสาร	kʰâːw sǎːn	rice	ลูกช่วยตวงข้าวสารมาให้แม่ 2 กระป๋อง
อด	ʔòt	abstain; abstain from food	พ่อตั้งใจจะอดเหล้าระหว่างฤดูเข้าพรรษา
ข้อเท็จจริง	kʰɔ̂ː tʰét tɕiŋ	fact; truth; evidence	การประเมินผลต้องดูว่าผู้พูดมองข้อเท็จจริงจากไหน
ต่างจังหวัด	tàːŋ tɕaŋ wàt	provincial; out of town	ทุกคนต่างก็บอกเป็นเสียงเดียวกันว่าคนใช้สมัยนี้หายากมาก เพราะคนต่างจังหวัดนิยมเข้าทำงานในโรงงานกันหมด
เนื้อที่	nɯ́ːa tʰîː	zone; area; dimension	เขามีบ้านขนาดอลังการอยู่บนเนื้อที่หลายไร่บริเวณบางบอน
เศรษฐี	sèːt tʰǐː	millionaire; rich man	ขณะนี้คนทั้งประเทศเดือดร้อนกันไปหมดตั้งแต่เศรษฐีจนถึงคนจนๆ
เครือข่าย	kʰrɯːa kʰàːj	network	ปัจจุบันระบบงานคอมพิวเตอร์แบบเครือข่ายได้ทำให้การใช้ข้อมูลต่างๆ ของหน่วยงานเป็นไปอย่างมีประสิทธิภาพ
พุทธศาสนา	pʰút tʰáʔ sàːt sà nǎː	Buddhism	พระพุทธศาสนาเกิดขึ้นเมื่อพระพุทธเจ้าได้ทรงแสดงปฐมเทศนาหรือเทศน์ครั้งแรก ณ ชมพูทวีป
คำนวณ	kʰam nuːan	calculate	เครื่องคอมพิวเตอร์ช่วยให้เราคิดหรือคำนวณเลขได้ผลลัพธ์ที่ถูกต้องและแม่นยำ
ดูด	dùːt	suck	หัวนมแตกมักจะเกิดจากการดูดนมไม่ถูกต้องควรจะปรึกษาแพทย์หรือผดุงครรภ์
องค์ประกอบ	ʔoŋ pràʔ kɔ̀ːp	component; constituent; ingredient	ลมเป็นองค์ประกอบส่วนหนึ่งของตรีสมุตถาน
ฟื้นฟู	fɯ́ːn fuː	restore; rehabilitate	ทางการกำลังจะฟื้นฟูป่าพรุคันธุลีเป็นพื้นที่ชุ่มน้ำแห่งใหม่ให้มีความอุดมสมบูรณ์มากขึ้น
พิการ	pʰíʔ kaːn	disabled; handicapped	เพื่อนของเขาบางคนอยู่ในโครงการเรียนร่วมระหว่างเด็กพิการกับเด็กปกติ
คัด	kʰát	steer; select; copy	ในอดีตปฏิทินแม่โขงนั้นดังมากที่สุดเพราะคัดเอาบรรดาสาวสวยมานุ่งน้อยห่มน้อยถ่ายภาพกันให้เห็น
ความรุนแรง	kʰwaːm run rɛːŋ	violence	ข้อขัดแย้งทางการค้าระหว่างไทยกับสหรัฐทวีความรุนแรงอย่างมากช่วงปี 2528 จนถึงต้นปี 2532
ว่าที่	wâː tʰîː	acting for; acting	ขณะนี้เขาได้รับยศเป็นว่าที่ร้อยตำรวจตรีประจำกรมตำรวจ
ทดแทน	tʰót tʰɛːn	compensate; replace	ค่าเสียหายทั้งหมดนายจ้างจะทดแทนให้ลูกจ้างทุกคน
เงินเดือน	ŋɤn dɯːan	salary	รัฐบาลมีนโยบายปรับอัตราเงินเดือนข้าราชการ
ปรกติ	pròk kà tìʔ	commonly, usually, normally	ปรกติครอบครัวของเขาจะทานข้าวนอกบ้านทุกวันอาทิตย์
ขณะเดียวกัน	kʰà nàʔ diːaw kan	at the same time	ทางโรงเรียนช่วยเหลือผู้ปกครองในการลดค่าใช้จ่ายโดยการนำอุปกรณ์การเรียนมาขายให้แก่ผู้ปกครองในราคาถูกขณะเดียวกันก็ลดค่าเทอมลง 10%
มารยาท	maː rá jâːt	manner; ethics	ผมมีมารยาทพอที่จะไม่ทำให้นายต้องลำบากใจเพราะคำพูดของผม
เชื่อมโยง	tɕʰɯ̂ːam joːŋ	link	รัฐบาลไทยควรเชื่อมโยงวัฒนธรรมโบราณของเอเชียตะวันออกเฉียงใต้ให้เป็นอันหนึ่งอันเดียวกัน
ผู้จัดการ	pʰûː tɕàt kaːn	manager	ผู้จัดการมีอิสระในการบริหารกิจการ และสามารถจ่ายเงินเดือนให้แก่พนักงานตามจะเห็นสมควร
